id,text,url,processed_gpe,predicted_model,heirarchical_without_sm_geonames,more_flag_h,mixtral_spacy,svm,svm_1,mixtral,local_path
00045.jsonl.gz-14852883,model cuisine equipee algerie ultra modern glossy kitchen judy by futura cucine digsdigs,https://tse2.mm.bing.net/th?id=OIP.1JWe9WqhtBAKIc9vol_BzwHaEo&amp;pid=15.1&amp;P=0&amp;w=300&amp;h=300,equipee algerie futura cucine digsdigs,,no,False,no,1,1,algeria,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00045.jsonl.gz-14852883.jpg
00072.jsonl.gz-14162295,Painted Ivory Solid Wood Kitchen Angola Black Granite,https://cdn.lentinemarine.com/wp-content/uploads/painted-ivory-solid-wood-kitchen-angola-black-granite_137414-840x450.jpg,,,no,False,no,1,1,angola,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00072.jsonl.gz-14162295.jpg
00079.jsonl.gz-3620161,Three Bedroom Golf Course Property For Sale ANG004 - Kitchen,https://www.freewayspain.com/images/xANG004-Kitchen.jpg.pagespeed.ic.-vGFr_CZfa.jpg,ang004 -,,no,False,no,1,1,angola,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00079.jsonl.gz-3620161.jpg
00075.jsonl.gz-15561733,Natural Stone Polished Black Angola Granite Countertop for Kitchen/Bathroom (YQC),http://jlrnrwxhnjmo5p.sofastcdn.com/cloud/kpBnmKRjlSnmmjpq/Natural-St-220-220.jpg,countertop kitchen/bathroom (yqc),,no,False,no,1,1,angola,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00075.jsonl.gz-15561733.jpg
00062.jsonl.gz-3307908,"Fully Equipped Kitchen - Villa 219E South Finger, Jolly Harbour - Jolly Harbour - rentals",https://tap1.fkimg.com/media/vr-splice-j/00/0e/90/36.jpg,Jolly Harbour_Jolly Harbour,trf,antigua and barbuda,False,antigua and barbuda,1,1,antigua and barbuda,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00062.jsonl.gz-3307908.jpg
00020.jsonl.gz-417080,"Fully Equipped Kitchen - Villa 219E South Finger, Jolly Harbour - Jolly Harbour - rentals",http://tap2.fkimg.com/media/vr-splice-j/00/0e/90/36.jpg,Jolly Harbour_Jolly Harbour,trf,antigua and barbuda,False,antigua and barbuda,1,1,antigua and barbuda,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00020.jsonl.gz-417080.jpg
00001.jsonl.gz-16863951,Historic Antiguan kitchen as recreated in the museum in central Antigua.,https://images.squarespace-cdn.com/content/54834f08e4b024c0186dbeb9/1463172683935-7Z4XKHPTZOJ97EE62B27/?format=1000w&content-type=image%2Fjpeg,Antigua,sm,spain_mexico_australia,True,antigua and barbuda,0,1,antigua and barbuda,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00001.jsonl.gz-16863951.jpg
00096.jsonl.gz-9316672,Kitchen I Love / by Mariel Barbosa,https://i.pinimg.com/custom_covers/216x146/528399037469043014_1406402013.jpg,/ mariel barbosa,,no,False,no,1,1,argentina,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00096.jsonl.gz-9316672.jpg
00093.jsonl.gz-6005405,Half of the kitchen  - Perfect French style Recoleta studio: balcony/WiFi - Buenos Aires - rentals,https://tap1.fkimg.com/media/vr-splice-j/03/00/82/c4.jpg,Buenos Aires,trf,"ecuador_guatemala_italy_peru_nicaragua_costa rica_colombia_philippines_mexico_argentina_chile_panama_sao tome and principe_uruguay_cuba_puerto rico_spain_honduras_venezuela, bolivarian republic of_dominican republic_bolivia, plurinational state of_united states_brazil_el salvador",True,argentina,1,1,argentina,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00093.jsonl.gz-6005405.jpg
00029.jsonl.gz-15837444,"This house in Buenos Aires was designed by an architect couple for their young family as a celebration of creativity, imperfection & sustainable materials. Home Decor Kitchen, Beautiful Kitchens, House, French Kitchen Decor, Kitchen Decor, Interior Design Kitchen, Kitchen Inspiration Design, Kitchen Dining Room, Light Wood Kitchens",https://i.pinimg.com/236x/e7/bd/43/e7bd433e581f8fccccb4f538d54cfaa4--teresa-ideas-para.jpg,Buenos Aires,sm,"ecuador_guatemala_italy_peru_nicaragua_costa rica_colombia_philippines_mexico_argentina_chile_panama_sao tome and principe_uruguay_cuba_puerto rico_spain_honduras_venezuela, bolivarian republic of_dominican republic_bolivia, plurinational state of_united states_brazil_el salvador",True,argentina,1,1,argentina,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00029.jsonl.gz-15837444.jpg
00022.jsonl.gz-2674781,"Apartment in Yerevan / ZAART architects Modern Kitchen Design Apartment Architec. - Apartment in Yerevan / ZAART architects Modern Kitchen Design Apartment Architec… – – - # Simple Kitchen Design, Kitchen Room Design, Design Living Room, Luxury Kitchen Design, Kitchen Cabinet Design, Luxury Kitchens, Kitchen Layout, Interior Design Kitchen, Kitchen Ideas",https://i.pinimg.com/236x/81/c6/13/81c613a4918c818dabfa3dc0f09b7c9e.jpg,Yerevan_Yerevan,trf,armenia,False,armenia,1,1,armenia,/data2/abhipsa/geographical-profiling-static/data/image_folders/kitchen_region_balanced_images/00022.jsonl.gz-2674781.jpg
